	TCGA.A6.2675	TCGA.A6.4105	TCGA.A6.5656	TCGA.A6.5657	TCGA.A6.5659	TCGA.A6.5660	TCGA.A6.5661	TCGA.A6.5662	TCGA.A6.5664	TCGA.A6.5665	TCGA.A6.5666	TCGA.A6.5667	TCGA.A6.6137	TCGA.A6.6138	TCGA.A6.6140	TCGA.A6.6141	TCGA.A6.6142	TCGA.A6.6648	TCGA.A6.6649	TCGA.A6.6650	TCGA.A6.6651	TCGA.A6.6652	TCGA.A6.6653	TCGA.A6.6654	TCGA.A6.6780	TCGA.A6.6781	TCGA.A6.6782	TCGA.AA.3489	TCGA.AA.3496	TCGA.AA.3511	TCGA.AA.3655	TCGA.AA.3660	TCGA.AA.3662	TCGA.AA.3663	TCGA.AA.3697	TCGA.AA.3712	TCGA.AA.3713	TCGA.AD.5900	TCGA.AD.6548	TCGA.AD.6888	TCGA.AD.6889	TCGA.AD.6890	TCGA.AD.6895	TCGA.AD.6899	TCGA.AD.6901	TCGA.AD.6963	TCGA.AD.6964	TCGA.AD.6965	TCGA.AM.5820	TCGA.AM.5821	TCGA.AU.3779	TCGA.AU.6004	TCGA.AY.5543	TCGA.AY.6196	TCGA.AY.6197	TCGA.AY.6386	TCGA.AZ.4323	TCGA.AZ.4616	TCGA.AZ.5403	TCGA.AZ.5407	TCGA.AZ.6598	TCGA.AZ.6599	TCGA.AZ.6600	TCGA.AZ.6601	TCGA.AZ.6603	TCGA.AZ.6605	TCGA.AZ.6606	TCGA.AZ.6607	TCGA.AZ.6608	TCGA.CA.5254	TCGA.CA.5255	TCGA.CA.5796	TCGA.CA.5797	TCGA.CA.6715	TCGA.CA.6716	TCGA.CA.6717	TCGA.CA.6718	TCGA.CA.6719	TCGA.CK.4947	TCGA.CK.4948	TCGA.CK.4950	TCGA.CK.4952	TCGA.CK.5912	TCGA.CK.5913	TCGA.CK.5914	TCGA.CK.5915	TCGA.CK.5916	TCGA.CK.6746	TCGA.CK.6747	TCGA.CK.6748	TCGA.CK.6751	TCGA.CM.4743	TCGA.CM.4751	TCGA.CM.5344	TCGA.CM.5348	TCGA.CM.5349	TCGA.CM.5860	TCGA.CM.5861	TCGA.CM.5862	TCGA.CM.5863	TCGA.CM.5864	TCGA.CM.5868	TCGA.CM.6161	TCGA.CM.6162	TCGA.CM.6163	TCGA.CM.6164	TCGA.CM.6165	TCGA.CM.6166	TCGA.CM.6167	TCGA.CM.6168	TCGA.CM.6169	TCGA.CM.6170	TCGA.CM.6171	TCGA.CM.6172	TCGA.CM.6674	TCGA.CM.6675	TCGA.CM.6676	TCGA.CM.6677	TCGA.CM.6678	TCGA.CM.6679	TCGA.CM.6680	TCGA.D5.5537	TCGA.D5.5538	TCGA.D5.5539	TCGA.D5.5540	TCGA.D5.5541	TCGA.D5.6529	TCGA.D5.6530	TCGA.D5.6531	TCGA.D5.6532	TCGA.D5.6533	TCGA.D5.6534	TCGA.D5.6535	TCGA.D5.6536	TCGA.D5.6537	TCGA.D5.6538	TCGA.D5.6539	TCGA.D5.6540	TCGA.D5.6541	TCGA.D5.6898	TCGA.D5.6920	TCGA.D5.6922	TCGA.D5.6923	TCGA.D5.6924	TCGA.D5.6926	TCGA.D5.6927	TCGA.D5.6928	TCGA.D5.6929	TCGA.D5.6930	TCGA.D5.6931	TCGA.D5.6932	TCGA.D5.7000	TCGA.DM.A0X9	TCGA.DM.A0XD	TCGA.DM.A0XF	TCGA.DM.A1D0	TCGA.DM.A1D4	TCGA.DM.A1D6	TCGA.DM.A1D7	TCGA.DM.A1D8	TCGA.DM.A1D9	TCGA.DM.A1DA	TCGA.DM.A1DB	TCGA.DM.A1HA	TCGA.DM.A1HB	TCGA.DM.A280	TCGA.DM.A282	TCGA.DM.A285	TCGA.DM.A288	TCGA.DM.A28A	TCGA.DM.A28C	TCGA.DM.A28E	TCGA.DM.A28F	TCGA.DM.A28G	TCGA.DM.A28H	TCGA.DM.A28K	TCGA.DM.A28M	TCGA.F4.6459	TCGA.F4.6460	TCGA.F4.6461	TCGA.F4.6463	TCGA.F4.6569	TCGA.F4.6570	TCGA.F4.6703	TCGA.F4.6704	TCGA.F4.6805	TCGA.F4.6806	TCGA.F4.6807	TCGA.F4.6808	TCGA.F4.6809	TCGA.F4.6854	TCGA.F4.6855	TCGA.F4.6856	TCGA.G4.6293	TCGA.G4.6294	TCGA.G4.6295	TCGA.G4.6297	TCGA.G4.6298	TCGA.G4.6299	TCGA.G4.6302	TCGA.G4.6303	TCGA.G4.6304	TCGA.G4.6306	TCGA.G4.6307	TCGA.G4.6309	TCGA.G4.6310	TCGA.G4.6311	TCGA.G4.6314	TCGA.G4.6315	TCGA.G4.6317	TCGA.G4.6320	TCGA.G4.6321	TCGA.G4.6322	TCGA.G4.6323	TCGA.G4.6586	TCGA.G4.6588	TCGA.G4.6625	TCGA.G4.6626	TCGA.G4.6627	TCGA.G4.6628
hsa-let-7a-1	-0.919488555	0.310006676	-0.949736175	0.190189774	-0.569516728	0.621625198	1.202266222	-0.426913668	0.144069057	0.702408186	1.939568776	-1.26755727	-0.199001133	0.117680239	-0.426299045	0.199918424	-0.782160483	0.938316134	0.343542502	-0.494650916	-1.331406257	-0.917016148	0.930361609	-1.123666651	0.080815024	1.314915384	0.513188745	1.965258955	0.03927393	-0.094075371	0.527394646	1.32568947	0.71691592	2.010703582	0.193935368	-0.130926834	1.060825437	-0.987726001	-0.201799393	-0.736958041	0.588940826	-0.493469381	0.673082613	0.489009324	1.682263376	0.089271694	0.115202781	-0.409950056	-0.437723427	0.391144728	0.881520421	-0.836641618	0.129141581	0.004828867	-0.328682863	0.340890001	-0.321756565	-0.051008293	0.517071431	1.022325732	0.046381076	0.610909497	1.053847042	0.283240483	-1.282677779	0.227758207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7a-2	-0.929148183	0.292531546	-0.960050111	0.211545761	-0.578341184	0.629352271	1.215040521	-0.459598379	0.122979064	0.72014057	1.929215675	-1.247135072	-0.2045906	0.127861409	-0.439725757	0.203158163	-0.807550766	0.908513592	0.354895964	-0.520008746	-1.333637857	-0.943996712	0.907764152	-1.112865734	0.081751349	1.301204684	0.5159907	1.966460561	0.054559056	-0.097860605	0.493549107	1.301641833	0.732433708	2.030378532	0.218371208	-0.119529209	1.043401245	-1.025444031	-0.220406468	-0.701725531	0.606779012	-0.499061097	0.672491197	0.49158954	1.665914424	0.062371488	0.117732746	-0.452218443	-0.401927896	0.391180657	0.873249443	-0.842475374	0.120300971	-0.01571341	-0.351499243	0.295178179	-0.321300649	-0.041271292	0.504409002	1.045679046	0.08717333	0.632918162	1.049151055	0.276634663	-1.282620334	0.256978682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7a-3	-0.920684967	0.292291858	-1.001776019	0.181412871	-0.605122596	0.655495594	1.190782087	-0.465922869	0.123485708	0.69269429	1.953781033	-1.252299859	-0.176482431	0.118652795	-0.4003404	0.223214495	-0.7794061	0.888460586	0.370141152	-0.538577987	-1.338145442	-0.932006364	0.938500975	-1.141089884	0.050918426	1.31008596	0.495619433	1.969680822	0.01528781	-0.086131926	0.527937939	1.303219302	0.749681145	2.023215043	0.202102511	-0.134488018	1.031791217	-1.03451325	-0.217000366	-0.66909686	0.594026256	-0.495074701	0.665089637	0.494179815	1.685852625	0.052571927	0.121463319	-0.444058425	-0.395320452	0.395951471	0.880849131	-0.856254824	0.069056421	-0.013843927	-0.328321671	0.318428449	-0.29208626	-0.038053485	0.497533289	1.048693752	0.069768485	0.629943307	1.042865187	0.272540735	-1.314436663	0.239556657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7b	-0.865264579	0.098118978	0.671212069	-0.009271494	-0.300123794	0.589817679	0.913502976	-0.431482564	3.162957265	0.610566948	-0.394385502	-1.49848096	0.370048688	-0.60868447	-0.163234204	0.63894858	0.625316993	0.347762813	0.971162084	-1.270617124	-0.537306605	-0.978870251	0.889086578	-0.050614021	-1.370280332	1.620660244	0.273579843	0.398970196	0.055194161	-0.259236515	0.844250446	1.502254703	0.348607692	0.824719442	0.057151422	0.323755002	1.187540544	-0.244487856	-0.182077829	0.190500197	-1.361724629	-0.010610424	0.378096032	0.923967818	1.117404303	1.319065614	-0.371569184	0.431620931	-1.261370504	0.985333912	0.728108057	-0.796229841	-0.061144553	0.175368955	-0.939933436	-0.17345201	0.345620591	-1.140745572	0.695584256	0.7092752	-0.34400225	1.103943083	0.710582803	-0.179921339	-1.327835293	0.545210762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7c	0.08349766	-0.677373741	0.484837281	1.202422172	0.906186203	0.016803525	-0.520823414	0.152976968	2.953461459	-0.70038401	-0.413627134	0.536841606	-1.352183768	0.110015284	-2.085403015	1.49891206	1.236449078	-1.924805641	0.60379933	-1.360793478	1.262494407	0.032252753	-0.981431792	0.529403713	-1.442181879	0.10037034	1.507779095	1.866385127	-0.515531187	-0.059179925	-0.069961663	0.255828259	-0.321649696	-0.686653205	-1.010213818	-0.576133476	-0.872737866	0.188346744	0.070986309	-2.241484718	-1.8919356	-0.1964274	1.169390922	1.07423079	1.70342242	0.99893216	1.146437346	1.227435955	0.0466767	-0.175590065	1.439835702	0.198562779	-0.6935002	1.319470429	-2.682730529	-0.118579949	0.742120201	-0.018236809	0.845431052	-1.199929935	-0.900774622	0.29530407	0.225226413	0.72984843	-0.002690243	0.524179284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7d	-1.697767489	-0.38608101	2.336346443	-1.39708591	-1.027943105	-0.471937932	-0.236120692	-1.707328739	4.043959568	-0.438543326	-2.318872545	-1.431790884	0.719323677	0.161567795	1.239435981	1.122362229	-0.103867351	0.51186572	0.046197591	1.148260132	-2.455078464	0.993049378	2.082074996	-1.611739706	0.979225716	0.719475263	0.369095368	-0.614638417	0.762434124	0.371636917	-0.465379297	-0.668861811	0.251854134	0.648964999	-1.059402204	-0.445169567	0.657406609	-0.995451906	-0.050651394	0.424874839	0.077038284	-0.405661781	-1.528403776	0.206413535	-0.70266066	0.180287682	-0.757482523	0.004528014	-0.48359296	-0.372154725	-0.985455937	-0.924037859	-0.672616238	0.247927531	0.79097101	0.24074419	-1.089323273	-0.509309992	-2.315915348	-1.28914992	1.420416701	0.092497463	0.132482589	0.260723214	-0.277687591	-0.38835623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7e	-1.125371085	-0.768961064	0.816495105	0.622444247	-0.991147836	-1.014945467	0.526602221	0.506778731	1.680673483	-0.163534748	-0.678361388	-0.519281802	-0.992243944	0.19434189	-1.060472728	0.302387056	0.977577429	-0.403835505	0.865180484	-0.550005989	0.043318654	0.428558456	0.284717578	0.030833679	-1.228430903	3.072927672	0.916434158	2.206502648	-0.348425482	0.491425377	0.656813185	-0.68917828	-0.105533447	-1.457537492	-2.563424515	-0.168153729	-1.098057331	0.071957489	0.725313301	-0.620131573	1.652179356	0.484163128	1.973305608	0.4795641	2.46938747	0.179227947	0.734552056	-0.202643015	0.176954818	0.581539442	-0.501207924	-0.576000721	-1.380827408	0.154687999	-1.37800913	0.098554793	1.02474463	1.153597138	0.371529392	-2.229990097	0.996277428	-1.928145482	0.528817845	0.66688348	-0.015793389	0.873635858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7f-1	-1.023781592	-0.659293744	0.186325265	-1.030307856	-1.595416369	0.333982358	0.755800018	-1.442727084	0.036411964	0.021156376	-1.906006738	-2.012518235	-0.025897171	0.565611807	0.457662425	0.88851095	-0.693316963	-0.054479846	-0.397923561	0.86442493	-2.983991774	2.191610593	1.487397114	-1.792287017	1.742206022	-0.328195053	-0.135212313	-0.240574243	1.281437251	-0.28801083	1.083613478	-1.464803531	-0.376858361	0.164279647	-2.086736795	0.295230892	0.735619443	0.344842567	-0.130392268	0.603883639	-0.616458754	0.068088114	-0.393413405	-0.387219345	-0.801991081	0.457911762	-0.492766117	-0.121585912	-1.520354438	0.123945796	-0.776391462	0.658497225	0.828711941	1.365974089	1.16995791	0.736101543	-1.163299906	-0.163521829	-1.152130917	-0.631938078	-0.311126529	-0.074592961	0.257082604	0.50200705	-0.829858767	-0.773141256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7f-2	0.064650406	0.908003782	-1.864959375	0.520321257	-0.415773756	0.906316276	1.032737593	-0.59905511	-2.774522704	0.584291889	0.97688989	-0.471431469	-0.146999193	0.733200503	-0.0593194	-0.188273814	-1.822733157	0.543241764	-0.277250171	0.361427206	-1.53292184	-1.056319597	0.302481556	-1.136602169	0.91424506	0.363756207	0.402318105	1.820531083	-0.365201461	0.033405291	0.080585843	0.651712141	0.935055195	2.237062344	0.437432891	0.366717269	0.44365232	-0.664911802	0.432020185	-0.723858309	0.836243573	-0.915701567	0.218806346	-0.533676057	0.781840699	-0.484427721	-0.732179513	-1.112298377	0.350887156	0.191920521	0.565957921	-1.058400222	0.210364654	-0.10938341	0.712329744	0.61791535	-0.79459403	1.513124759	0.253216655	0.430232901	0.684361292	-0.384014186	0.879178159	0.373066183	-1.196075245	-0.160611815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7g	-0.896037555	-0.17139209	-0.951949544	-1.044763773	-0.968274054	-0.016200313	0.407161022	-1.312302992	-1.548677092	0.412274309	-0.335856977	-1.672037415	1.137037931	0.995919405	2.282241646	1.173419512	-1.029077039	0.920892091	0.123085647	0.520150063	-2.246502273	0.362925407	0.984083995	-1.800843812	1.241026429	0.208754973	0.996102372	1.186865579	1.213559673	0.48836779	-0.823469331	-0.879143055	-0.318884646	0.726783959	-0.321360942	-0.293402483	0.035728489	-1.237910681	0.085410264	0.744478301	0.463146386	-0.162146255	-0.05979841	-1.28083537	0.285246066	0.336348257	0.238379166	-0.991493345	-1.80889899	-0.116325305	-0.007396601	-1.612679615	0.642220532	-0.141010654	0.255926982	0.68662284	-0.154674379	0.015480143	-0.913624823	0.024551045	1.58933776	0.942715334	0.074237883	0.396168424	0.087489526	0.408149076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
