	TCGA.02.0001	TCGA.02.0003	TCGA.02.0007	TCGA.02.0009	TCGA.02.0010	TCGA.02.0011	TCGA.02.0014	TCGA.02.0021	TCGA.02.0024	TCGA.02.0027	TCGA.02.0028	TCGA.02.0033	TCGA.02.0034	TCGA.02.0038	TCGA.02.0043	TCGA.02.0047	TCGA.02.0052	TCGA.02.0054	TCGA.02.0057	TCGA.02.0058	TCGA.02.0060	TCGA.02.0064	TCGA.02.0069	TCGA.02.0071	TCGA.02.0074	TCGA.02.0075	TCGA.02.0080	TCGA.02.0083	TCGA.02.0085	TCGA.02.0086	TCGA.02.0089	TCGA.02.0099	TCGA.02.0102	TCGA.02.0107	TCGA.02.0113	TCGA.02.0114	TCGA.02.0115	TCGA.02.0116	TCGA.02.2466	TCGA.02.2470	TCGA.02.2483	TCGA.02.2485	TCGA.02.2486	TCGA.06.0122	TCGA.06.0124	TCGA.06.0125	TCGA.06.0126	TCGA.06.0128	TCGA.06.0129	TCGA.06.0130	TCGA.06.0133	TCGA.06.0137	TCGA.06.0139	TCGA.06.0140	TCGA.06.0141	TCGA.06.0142	TCGA.06.0143	TCGA.06.0145	TCGA.06.0147	TCGA.06.0155	TCGA.06.0169	TCGA.06.0875	TCGA.06.0876	TCGA.06.0877	TCGA.06.0878	TCGA.06.0879	TCGA.06.0881	TCGA.06.0882	TCGA.06.0939	TCGA.06.1084	TCGA.06.1086	TCGA.06.1087	TCGA.06.1800	TCGA.06.1801	TCGA.06.1802	TCGA.06.1805	TCGA.06.2557	TCGA.06.2558	TCGA.06.2559	TCGA.06.2561	TCGA.06.2562	TCGA.06.2563	TCGA.06.2564	TCGA.06.2565	TCGA.06.2566	TCGA.06.2567	TCGA.06.2569	TCGA.06.2570	TCGA.12.0670	TCGA.12.0820	TCGA.12.0821	TCGA.12.0822	TCGA.12.0826	TCGA.12.0827	TCGA.12.0828	TCGA.12.0829	TCGA.12.1088	TCGA.12.1089	TCGA.12.1090	TCGA.12.1091	TCGA.12.1092	TCGA.12.1093	TCGA.12.1094	TCGA.12.1095	TCGA.12.1096	TCGA.12.1097	TCGA.12.1098	TCGA.12.1099	TCGA.12.1597	TCGA.12.1598	TCGA.12.1599	TCGA.12.1600	TCGA.12.1602	TCGA.12.3644	TCGA.12.3646	TCGA.12.3648	TCGA.12.3649	TCGA.12.3650	TCGA.12.3651	TCGA.12.3652	TCGA.12.3653	TCGA.14.0736	TCGA.14.0783	TCGA.14.0786	TCGA.14.0787	TCGA.14.0789	TCGA.14.0790	TCGA.14.0812	TCGA.14.0813	TCGA.14.0817	TCGA.14.0865	TCGA.14.0866	TCGA.14.0867	TCGA.14.0871	TCGA.14.1034	TCGA.14.1037	TCGA.14.1396	TCGA.14.1401	TCGA.14.1402	TCGA.14.1451	TCGA.14.1452	TCGA.14.1453	TCGA.14.1454	TCGA.14.1455	TCGA.14.1456	TCGA.14.1458	TCGA.14.1459	TCGA.14.1794	TCGA.14.1795	TCGA.14.1821	TCGA.14.1823	TCGA.14.1825	TCGA.14.1827	TCGA.14.1829	TCGA.14.2554	TCGA.14.2555	TCGA.14.3476	TCGA.14.3477	TCGA.14.4157	TCGA.15.1446	TCGA.15.1447	TCGA.15.1449	TCGA.16.0846	TCGA.16.0848	TCGA.16.0849	TCGA.16.0850	TCGA.16.0861	TCGA.16.1045	TCGA.16.1047	TCGA.16.1048	TCGA.16.1055	TCGA.16.1056	TCGA.16.1060	TCGA.16.1062	TCGA.16.1063	TCGA.16.1460	TCGA.19.0955	TCGA.19.0957	TCGA.19.0960	TCGA.19.0962	TCGA.19.0963	TCGA.19.0964	TCGA.19.1385	TCGA.19.1386	TCGA.19.1387	TCGA.19.1388	TCGA.19.1389	TCGA.19.1390	TCGA.19.1392	TCGA.19.1786	TCGA.19.1787	TCGA.19.1788	TCGA.19.1789	TCGA.19.1790	TCGA.19.1791	TCGA.19.2619	TCGA.19.2620	TCGA.19.2621	TCGA.19.2623	TCGA.19.2624	TCGA.19.2625	TCGA.19.2629	TCGA.19.2631	TCGA.19.4068	TCGA.26.1438	TCGA.26.1439	TCGA.26.1440	TCGA.26.1443	TCGA.26.1799	TCGA.27.1830	TCGA.27.1831	TCGA.27.1832	TCGA.27.1833	TCGA.27.1834	TCGA.27.1835	TCGA.27.1836	TCGA.27.1837	TCGA.27.1838	TCGA.27.2518	TCGA.27.2519	TCGA.27.2521	TCGA.27.2523	TCGA.27.2524	TCGA.27.2526	TCGA.27.2527	TCGA.27.2528	TCGA.28.1745	TCGA.28.1746	TCGA.28.1747	TCGA.28.1749	TCGA.28.1750	TCGA.28.1751	TCGA.28.1752	TCGA.28.1753	TCGA.28.1755	TCGA.28.1756	TCGA.28.1757	TCGA.28.1760	TCGA.28.2502	TCGA.28.2506	TCGA.28.2509	TCGA.28.2513	TCGA.28.2514	TCGA.32.1970	TCGA.32.1973	TCGA.32.1976	TCGA.32.1977	TCGA.32.1978	TCGA.32.1982	TCGA.32.1986	TCGA.32.1987	TCGA.32.1991	TCGA.32.2491	TCGA.32.2494	TCGA.32.2495	TCGA.32.2615	TCGA.32.2616	TCGA.32.2632	TCGA.32.2634	TCGA.32.2638	TCGA.32.4208	TCGA.32.4209	TCGA.32.4210	TCGA.32.4211	TCGA.32.4213	TCGA.32.4719	TCGA.41.2571	TCGA.41.2572	TCGA.41.2573	TCGA.41.2575	TCGA.41.3392	TCGA.41.3393	TCGA.41.3915	TCGA.41.4097
ebv-miR-BART1-3p	1.045690546	0.393888981	0.604124061	-0.033021291	0.74043133	-0.925395793	-0.12159672	-0.901789794	-0.647140478	0.065885596	0.295801973	0.359497814	-0.313748868	-0.509775508	0.242655689	0.474587058	-0.228245752	0.239354656	-0.470123512	-0.116129543	-0.258761018	-0.450991041	1.139891691	0.857976406	0.076656025	-0.469772281	0.188971901	0.437015511	3.336567376	0.070456239	-0.578494135	0.325458937	-0.378440093	-0.574927329	-0.283929225	0.377996616	0.081312228	0.789415581	-0.299762953	-0.310095435	-0.873125198	0.362844933	-0.549973185	0.304178946	-0.083579196	0.010362984	-0.463986321	1.70172812	-0.248502739	-0.808000764	0.653172942	-0.264073783	0.524534084	-0.1781149	-0.377903742	-0.370954452	0.64173205	-0.370175377	-0.276964066	-0.600549244	-0.6518046	-0.459963129	-0.461308285	-0.381856577	-0.173156196	0.124124566	0.111173848	0.061616972	-0.54838941	-0.079889536	-0.455438781	-0.469788468	-0.538602051	-0.525610612	-0.79039531	-0.837974304	-0.318962013	-0.802694877	0.099898642	5.491139792	0.049465094	0.486199946	-0.139241382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ebv-miR-BART1-5p	0.61332527	0.425427558	0.637521037	0.888241993	-0.165339932	0.234015501	-0.352064152	-0.080669407	0.319710824	-0.455544932	-0.063072267	-0.080277543	-0.040668165	-0.064575158	-1.101073812	-0.082359227	-0.932493488	-0.783017852	-0.314451625	-1.2008534	-0.777435299	0.533818988	-0.831723063	1.693239934	-0.809219999	0.829597634	0.841576053	-0.851667637	-0.588814947	-0.306990024	-0.621349924	1.231855841	0.88866232	-0.388484964	0.686369172	-0.475371078	-0.315267162	2.794424539	-1.028998542	-0.187312601	-0.233327188	0.335100623	0.847230197	-0.585724454	-0.916561394	-0.182669659	7.379255387	1.76639416	1.882784942	-0.249801051	0.387755821	-1.298751506	0.562593274	0.913511595	1.735240714	-0.847859915	0.304628745	1.150197003	-0.46249855	-0.429651106	0.614585135	-0.154957925	0.534741836	-0.610868222	-0.339178576	0.97824323	2.409064242	0.510076398	-0.497461455	1.421162717	1.271407136	-0.224308813	-0.044221188	-0.3027458	0.738611808	0.767346712	0.382216062	-0.481391571	-0.787663646	3.669269491	-0.749374896	-0.953862068	-0.384735218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ebv-miR-BART10	0.54786026	-0.176375133	-0.186130005	0.985098249	-0.404298265	-0.049711252	-0.077272702	0.601822819	0.231332557	-1.052072511	-0.242419681	0.189714332	0.11717485	-1.468266409	-1.130859317	-0.22201451	-0.394259189	-0.285775436	-0.264586575	-0.081271563	-0.484879115	-0.543761702	-1.286057398	2.406503896	-0.560342164	0.039992497	0.408459633	-0.06331806	4.344667384	-1.124079255	0.640604376	-0.451369422	0.230835401	0.0081821	0.996432033	-0.447623016	-1.18692548	-0.451436248	-0.503798329	-0.781657999	-0.849154495	1.439473665	-1.100024548	0.361993031	-0.652251507	0.271095519	-0.213668813	0.058087922	4.446683246	-0.181751212	4.53239124	-1.404637109	-0.194392519	-0.0601965	5.004027208	-0.339581593	0.160705487	1.815563818	-1.040765612	-0.716096083	-0.080476153	-0.156832179	-0.013937419	-0.122598183	-0.687028535	-0.192975543	1.44061579	-0.240324252	-0.719017766	1.138042491	1.484501346	-0.186967615	-0.821672071	0.28707326	0.152920723	0.344081641	0.316814761	-0.088133711	0.469290082	5.060370569	-0.5772706	-1.053768808	-0.24571211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ebv-miR-BART11-3p	-2.564776734	-2.539508109	-2.70327449	-0.584495249	-0.423714898	-1.136360303	-1.137979271	-0.297859914	-1.188489081	0.597415766	2.093452691	2.066629482	0.279196677	0.676602791	3.079426596	4.832473106	-0.02784743	1.575695612	-0.092238709	-0.042427147	-1.46917275	-0.229120634	-2.153969141	0.954953288	-0.886395579	-0.587384926	0.997805544	-0.880629318	0.211914196	-0.04570366	0.098212588	0.259118108	0.284408888	0.165182849	-2.621058963	0.148472796	-0.833677377	-0.32962686	-0.128294283	-0.307249904	-0.285703611	-0.594485954	-0.15486478	1.321876086	-0.307447435	-0.816643394	-0.502769138	-1.551455288	-0.238108246	-1.045395785	0.18075766	-0.694017694	1.158551566	0.354239258	1.062752528	-0.996093372	-0.558574259	2.094965762	-0.533466265	-0.999908332	0.850166421	-0.716196455	0.408071611	-0.249359047	-0.192928749	0.74913061	-0.402085958	0.60801448	-0.235160138	-0.431614008	-1.673546164	-1.419991336	-0.120039519	0.336120607	-0.021292632	-0.635572152	0.135740929	0.025694206	0.49590677	0.35181526	-0.323531577	-0.105687148	-0.15276434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ebv-miR-BART11-5p	1.760711303	0.676852887	1.090137822	1.518001727	0.622777922	-0.849003346	-0.9360228	-1.001628309	-0.757266803	-0.659001519	-0.418460727	-0.392578976	-1.238284129	-1.159319906	-0.549577576	-0.144034674	0.181824544	-0.225377711	-0.210882171	-0.909361183	0.213729404	-1.103343439	2.278069777	1.689630764	-1.679254988	-0.170226283	0.812610353	-0.314885427	-1.069963953	-0.720582506	0.099732566	1.216309917	-0.001235701	0.358994495	-0.257536476	-0.038968472	-0.042593622	-0.885285797	-0.878199834	-0.177033173	-0.315381667	-0.958962688	1.442237104	-1.036297423	-0.275868547	-1.096496215	0.33789675	9.463272974	-0.409139463	-0.720275579	2.243523527	-0.04031768	1.290742995	-0.194549012	-0.315317206	-1.532431345	1.190391328	1.105155798	-0.988967259	-0.409854111	-1.050369764	-0.211017805	-0.185664527	0.39515708	-0.2123839	-0.952380838	0.106816943	-0.171434799	-1.022324063	-0.098494281	-0.355970254	-0.002882064	-0.377302878	-0.488987526	-0.676384385	-0.156169743	0.06443755	-0.26867376	-0.50717511	3.751759918	-0.775818899	-1.04087301	-0.84130753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ebv-miR-BART12	1.161313103	0.484503493	0.78342254	1.193975954	0.445772175	0.007830574	-0.30383796	-0.419274842	-0.5336747	-0.252609726	-0.084936874	0.000497149	-0.405685273	-0.791598379	-0.626737329	-0.184347538	-0.65576698	-0.697915994	-0.37027523	-0.216753005	-0.393566138	-0.528365642	-0.652275138	0.224612027	-1.244407676	0.65136001	0.443198423	0.406136421	0.963621458	-0.610593871	-0.720318139	-0.254634196	-0.318153562	0.993730053	-0.06446216	-0.270399503	-0.325337795	0.379677629	-0.649075124	-0.925374015	-1.011190423	0.410871312	-0.501475607	2.452816095	2.013582856	0.411200954	-0.405109427	-0.034184164	7.157461666	-0.364668692	3.069366404	-1.95461494	2.052083529	-1.03871446	5.884542422	-1.211452186	1.077500108	2.095837992	-1.224957968	-0.637317706	-1.555245579	-0.130900731	0.13968841	-0.117166442	0.210964263	-0.169103707	1.83118234	-0.339547263	-0.748255434	2.577646798	0.038647616	-0.378350804	-0.412952156	-0.256839953	-0.697245895	-0.070632002	-0.283835091	-0.736236726	0.211825689	4.286231775	-0.406087293	-1.345665721	-0.577052761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ebv-miR-BART13	-1.380301155	-1.584081835	-1.517693614	-0.402572844	-0.629975448	-0.651971483	-0.873623505	0.584767342	0.896168254	-0.923409036	1.219332221	0.407083472	0.648792169	-0.176754216	0.661446008	3.032460284	-0.393323773	-0.164468889	0.223879266	-0.605313838	-1.134986359	1.897942482	-2.542845139	0.571450895	-1.002564644	-1.999108477	-3.137330321	-0.249380148	0.389194662	-1.003918062	0.741183163	-0.278007031	0.327587221	1.749252863	1.31408229	1.660913412	-0.481241312	-2.356802748	-0.414968049	0.057165766	-0.134303887	-0.566637643	0.903842541	0.269683795	0.374707745	-0.75509729	-0.110334898	-2.282783972	-2.054686482	0.805716005	0.449370653	-0.440643179	2.489805382	1.555600002	1.225053219	-1.078665435	0.714811234	0.003039095	-1.183922094	0.314065303	1.465711349	-0.210443148	1.843977473	1.18110652	0.241715909	-0.32656626	3.037023062	-0.467176762	0.306701113	1.640861832	2.267942589	0.801155486	-0.383895294	-0.298190263	0.297162508	-0.343153347	-0.682085127	-0.529698492	-0.138794887	-1.75698815	0.028723213	0.846815776	-0.562012477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ebv-miR-BART14-3p	-0.631589442	-1.137743507	0.158171296	-0.929709734	-0.1255618	0.779124842	-0.269429384	0.192463151	0.335869016	0.14513392	-1.267698863	0.307255253	2.276280312	-0.800653787	-0.935636678	1.107696156	-0.651792735	-0.340140667	-0.040292616	-0.68581278	-0.736068185	0.595180961	-1.519265991	0.215937782	-0.976527212	1.975195932	0.336159679	-0.006145496	1.133942195	-1.737856613	-0.025152451	-0.819819482	-0.531397185	0.782724888	2.415940223	0.838880651	-0.467926994	-0.077639167	-0.86646622	0.033058503	0.341327986	-0.554083687	0.329967128	-0.913481404	0.360322154	-1.147866221	0.761386873	1.350880796	-0.875840989	0.721295241	-0.789301691	1.164982451	-0.401272087	1.67818168	-0.236362936	-0.235889046	-0.572702517	-0.752938428	1.00262448	-0.63560214	2.122216629	0.018543613	0.392970184	0.228521779	-0.290947136	-0.045351541	3.107740717	-0.540110685	0.56784158	1.252307343	0.783889165	0.219770585	-0.882782533	-0.874284894	1.171768751	0.42121683	-0.340550808	-0.275743256	-0.783911152	2.670517102	0.290246207	-0.834773944	-0.840779435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ebv-miR-BART14-5p	-0.096331186	0.001409396	0.126829169	-0.641859048	-0.802185082	-0.60219698	-0.32608154	-0.347582083	-0.462119963	-0.891846377	-0.121829988	0.455992849	-0.097546751	1.669562993	-0.22392688	0.530523892	-0.297418549	1.375064182	0.499277968	-0.05343866	-0.355778575	-0.625514418	-0.054473859	1.993401624	-0.645340461	0.561916896	0.292795358	0.481913533	-0.718996339	0.506861685	-0.174013252	0.612973982	0.229948225	-0.403282509	-0.391801497	0.604388831	-0.296660024	0.995672097	-0.276985243	-0.686368755	-0.880738869	0.508357795	-0.357850401	-0.770714359	-0.020327822	-0.239387665	-0.344040478	2.443831492	-0.491335811	-0.266340251	2.884506596	0.089099072	-0.087459361	-0.648842891	-0.445109753	-0.405784121	0.381637531	5.770444651	-0.764574379	-0.698654318	-0.885651792	-0.855486983	-0.715038179	-0.31433609	0.975056137	3.857342582	-1.413078161	0.738917958	-0.916268139	-0.601876034	-1.471455991	-1.339033584	-0.670850973	-0.414585058	-0.82557694	-1.171201201	-0.344955312	-0.409025928	0.1356368	2.509205647	-0.168441762	-0.0301596	0.739651122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ebv-miR-BART15	3.382607613	1.634772201	0.668478746	1.374333784	0.454516168	-0.931069495	-0.076437977	-0.948140404	-1.795157773	-0.674447659	0.970970858	2.187434142	-0.716090496	-0.779899907	0.108594137	-1.124600474	-0.890606082	0.853578527	-0.181755689	-0.346513148	-0.716109118	-0.193434135	1.314251804	0.486220556	0.609761404	-0.10412432	-0.095024208	-0.901323424	0.263316139	1.656469424	-0.283683825	1.017766752	-0.003790816	-0.534447615	-0.64067472	2.342273945	-0.473664582	0.207861831	-0.240866799	-0.922093322	-0.879179775	-0.391961992	0.241237347	-1.051308652	0.427313804	1.994663662	-0.28910903	5.086190392	0.361600423	-0.046039442	3.199822035	-0.804407309	-0.210766134	1.15786533	0.377540666	-0.033776756	1.613632059	1.345998088	-1.351978619	-0.333620692	-1.222885287	-0.0242379	-0.19359503	0.031220885	0.122455395	-0.356963882	-0.2552199	-0.524287512	-0.152366222	-0.876453928	-0.570594179	-0.72079262	-0.805727337	-0.325181814	-1.210739536	-0.717635701	-0.241261491	-0.69747853	-0.034154503	7.795753886	-0.417840936	-0.92504122	0.57350063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
