	TCGA.3Z.A93Z	TCGA.6D.AA2E	TCGA.A3.3358	TCGA.A3.3387	TCGA.A3.A6NI	TCGA.A3.A6NJ	TCGA.A3.A6NL	TCGA.A3.A6NN	TCGA.A3.A8CQ	TCGA.A3.A8OU	TCGA.A3.A8OV	TCGA.A3.A8OW	TCGA.A3.A8OX	TCGA.AK.3440	TCGA.AK.3458	TCGA.B0.4698	TCGA.B0.4700	TCGA.B0.4706	TCGA.B0.4710	TCGA.B0.4712	TCGA.B0.4810	TCGA.B0.4811	TCGA.B0.4815	TCGA.B0.4816	TCGA.B0.4818	TCGA.B0.4821	TCGA.B0.4852	TCGA.B0.5080	TCGA.B0.5399	TCGA.B0.5400	TCGA.B0.5402	TCGA.B0.5690	TCGA.B0.5691	TCGA.B0.5692	TCGA.B0.5693	TCGA.B0.5694	TCGA.B0.5695	TCGA.B0.5696	TCGA.B0.5697	TCGA.B0.5698	TCGA.B0.5699	TCGA.B0.5700	TCGA.B0.5701	TCGA.B0.5702	TCGA.B0.5703	TCGA.B0.5705	TCGA.B0.5706	TCGA.B0.5707	TCGA.B0.5709	TCGA.B0.5710	TCGA.B0.5711	TCGA.B0.5712	TCGA.B0.5713	TCGA.B0.5812	TCGA.B2.3924	TCGA.B2.5633	TCGA.B2.5635	TCGA.B2.5636	TCGA.B2.5639	TCGA.B2.5641	TCGA.B2.A4SR	TCGA.B4.5377	TCGA.B4.5378	TCGA.B4.5832	TCGA.B4.5834	TCGA.B4.5835	TCGA.B4.5836	TCGA.B4.5838	TCGA.B4.5843	TCGA.B4.5844	TCGA.B8.4146	TCGA.B8.4153	TCGA.B8.4621	TCGA.B8.4622	TCGA.B8.5545	TCGA.B8.5546	TCGA.B8.5549	TCGA.B8.5550	TCGA.B8.5551	TCGA.B8.5552	TCGA.B8.5553	TCGA.B8.A54D	TCGA.B8.A54E	TCGA.B8.A54F	TCGA.B8.A54G	TCGA.B8.A54H	TCGA.B8.A54I	TCGA.B8.A54J	TCGA.B8.A54K	TCGA.B8.A7U6	TCGA.B8.A8YJ	TCGA.BP.4770	TCGA.CJ.5671	TCGA.CJ.5672	TCGA.CJ.5675	TCGA.CJ.5676	TCGA.CJ.5677	TCGA.CJ.5678	TCGA.CJ.5679	TCGA.CJ.5680	TCGA.CJ.5681	TCGA.CJ.5682	TCGA.CJ.5683	TCGA.CJ.5684	TCGA.CJ.5686	TCGA.CJ.5689	TCGA.CJ.6027	TCGA.CJ.6028	TCGA.CJ.6030	TCGA.CJ.6031	TCGA.CJ.6032	TCGA.CJ.6033	TCGA.CW.5580	TCGA.CW.5581	TCGA.CW.5583	TCGA.CW.5584	TCGA.CW.5585	TCGA.CW.5587	TCGA.CW.5588	TCGA.CW.5589	TCGA.CW.5590	TCGA.CW.5591	TCGA.CW.6087	TCGA.CW.6088	TCGA.CW.6090	TCGA.CW.6093	TCGA.CW.6097	TCGA.CZ.4863	TCGA.CZ.4864	TCGA.CZ.4865	TCGA.CZ.4866	TCGA.CZ.5451	TCGA.CZ.5452	TCGA.CZ.5453	TCGA.CZ.5454	TCGA.CZ.5455	TCGA.CZ.5456	TCGA.CZ.5457	TCGA.CZ.5458	TCGA.CZ.5459	TCGA.CZ.5460	TCGA.CZ.5461	TCGA.CZ.5462	TCGA.CZ.5463	TCGA.CZ.5464	TCGA.CZ.5465	TCGA.CZ.5466	TCGA.CZ.5467	TCGA.CZ.5468	TCGA.CZ.5469	TCGA.CZ.5470	TCGA.CZ.5982	TCGA.CZ.5984	TCGA.CZ.5985	TCGA.CZ.5986	TCGA.CZ.5987	TCGA.CZ.5988	TCGA.CZ.5989	TCGA.DV.5565	TCGA.DV.5566	TCGA.DV.5567	TCGA.DV.5568	TCGA.DV.5569	TCGA.DV.5573	TCGA.DV.5574	TCGA.DV.5575	TCGA.DV.5576	TCGA.DV.A4VX	TCGA.DV.A4VZ	TCGA.DV.A4W0	TCGA.EU.5904	TCGA.EU.5905	TCGA.EU.5906	TCGA.EU.5907	TCGA.G6.A5PC	TCGA.G6.A8L6	TCGA.G6.A8L7	TCGA.G6.A8L8	TCGA.GK.A6C7	TCGA.MM.A563	TCGA.MM.A564	TCGA.MM.A84U	TCGA.MW.A4EC	TCGA.T7.A92I
cg00011891	-0.771683366	1.252462935	1.328761162	-0.743905437	-0.743998404	0.857055707	0.918065863	-0.747594188	1.481910968	1.351717877	-0.759083854	-0.77119703	1.213229467	-0.77963166	-0.768252459	-0.766062312	-0.73413863	-0.761388969	1.211016575	-0.764208065	-0.775437553	-0.767776339	-0.763748089	-0.757764363	1.21536759	1.311826907	1.346171068	-0.758941763	-0.765906111	1.253927051	-0.770795989	1.123846285	0.955878874	1.21775092	0.814367899	-0.733607236	1.64414853	-0.74579886	-0.753623616	-0.75087307	-0.745655171	-0.690004661	-0.740719074	-0.747929485	-0.747504288	1.434711691	-0.741053094	1.543199025	1.354010511	-0.751333772	-0.747561064	1.230460501	1.510060634	-0.744954397	-0.737322562	-0.744717944	-0.729543538	-0.743142915	-0.7441137	-0.734263661	-0.744601134	1.412815512	-0.768633138	-0.753178482	-0.75282574	1.400408707	1.558905952	-0.749212645	-0.744369876	1.747333366	1.621298737	-0.74102498	-0.767704566	-0.752414145	-0.754106258	0.977001947	-0.758814514	-0.751653481	1.32114988	1.669128339	1.607363269	-0.761977946	1.1876855	0.73192868	-0.738360265	1.20793149	-0.746265681	-0.751987212	-0.738066325	1.329633377	1.438246557	1.249041863	-0.754513693	-0.756956314	-0.742342376	-0.745322302	1.572408767	-0.735828743	-0.756054904	1.571434325	0.402328212	-0.75892401	-0.720061731	-0.747068058	1.543807721	-0.750709017	-0.747907216	-0.732660888	-0.731906291	-0.754260414	1.444390631	1.495219954	1.36902231	-0.740947029	1.782047854	-0.745273029	-0.72940727	1.556417904	1.137700675	-0.753005325	-0.738829159	-0.74724842	-0.747552273	-0.758989257	-0.736707259	-0.686174651	-0.7538526	1.148945927	-0.764703741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cg00046099	-0.850453198	1.413949538	1.455136983	-0.752604826	-0.809272022	1.168018827	1.143985017	-0.794789725	1.448837997	1.61610275	-0.804132668	-0.742087109	1.373652187	-0.748029065	-0.842416205	-0.813232508	-0.660232336	-0.779717832	1.152809924	-0.831905697	-0.782058648	-0.751194945	-0.827232825	-0.811947793	0.997336709	0.923137955	1.079351101	-0.775725258	-0.724715636	1.355447042	-0.821934879	0.719895352	1.530227739	0.754905537	1.293627903	-0.772651047	0.333043942	-0.596966363	-0.751020806	-0.753478866	-0.677838877	-0.781527241	-0.66758665	-0.756470613	-0.707741518	1.515987511	-0.761898991	1.868045152	1.517031712	-0.613938231	-0.747245941	1.239233633	1.312017122	-0.743180239	-0.753831481	-0.752661579	-0.760890383	-0.770053748	-0.704399862	-0.729522207	-0.761963682	1.409462152	-0.814242803	-0.744485815	-0.712745751	1.253063643	1.102266815	-0.703648128	-0.774747722	1.533006426	1.37641107	-0.652626573	-0.819783685	-0.643784382	-0.778750069	1.492103798	-0.709069204	-0.710888525	1.441611732	1.580367151	1.443528143	-0.690490673	0.883259734	1.540292464	-0.76899563	1.56043136	-0.782427561	-0.851660447	-0.762117483	1.287331036	0.67922792	0.986334842	-0.710368974	-0.77213081	-0.711780878	-0.765788062	1.695419005	-0.602998477	-0.679431719	1.776936108	0.536019538	-0.69851713	-0.701850255	-0.675135034	1.583361054	-0.633341246	-0.748377948	-0.716643846	-0.746143748	-0.812497265	0.701331146	1.505304253	1.511574441	-0.678531601	0.464032289	-0.787951155	-0.697507564	1.502711103	1.160028234	-0.645825911	-0.734488839	-0.718662142	-0.72571727	-0.785991199	-0.711865983	-0.673601863	-0.756935519	1.127219793	-0.736905971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cg00083659	-0.949767899	-0.119290148	-0.598050649	-0.00987836	-0.50536721	-0.649590747	-0.85993077	-0.172401456	-0.387174797	-0.670120616	0.728781417	0.322243672	-0.592526708	1.700378704	-0.24918032	0.978671048	-1.299617966	1.118282216	1.532021273	1.230776213	1.717679479	1.181297396	0.740749491	1.158804862	1.17689211	0.399619335	1.463669822	1.263663997	0.360618156	0.130105674	0.605818095	-0.616980934	-0.751491534	-1.81587951	0.39531055	-1.444474569	-0.148497177	-0.975215161	-1.769667837	0.035802453	0.664555439	-0.373388236	-1.741509334	-0.515237954	0.332594944	0.171818001	0.242520219	0.878019879	-0.504023838	1.260082559	1.218445368	0.362175786	1.297529876	-0.107905933	-0.387802493	-1.828206893	-1.899475927	-0.39974769	0.181240666	-1.566537703	-0.921783909	0.902798427	1.292376631	0.132998723	-0.798182936	0.638354709	-0.913970136	0.014416076	0.723581167	-1.189441586	0.49139877	0.098182187	0.421033822	-0.824054661	-0.023502032	1.40202535	-0.514573938	-0.146130399	-1.572318263	0.076357509	-1.508187327	-1.391831405	-0.809988441	-1.487846283	-1.007770442	-0.436936354	-1.726294571	-1.46721354	0.83058122	-0.676768901	-1.139900938	1.060650157	-0.591351631	-1.14351765	-1.060365135	-0.514494023	-0.554026249	-0.273582184	0.838072093	-1.590771408	0.758394342	0.273903561	-1.449825365	-1.004293918	-1.49034948	-0.617043511	0.07265546	-0.590087717	-1.531048363	-1.142617202	-0.672960713	-0.825483227	-0.558966703	0.496279111	0.65781236	-0.823480542	-0.28362697	-1.369217834	-0.755036085	0.235877722	-0.532340572	-0.340691574	-1.035058087	0.365410599	-0.45225965	0.887256031	-1.127599467	1.740963499	1.33462111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cg00084338	-0.353035265	0.955929318	-0.686898087	-0.642175686	-0.077610881	-0.865314059	0.094018822	-0.917436582	1.183666584	-0.018041668	-1.009300358	0.511612273	0.354237064	-1.72965254	-0.179554254	-1.024942528	1.854905353	-1.094121634	-0.65188547	-0.600106259	-1.190878109	-0.843723419	-0.526448289	-0.4064386	-0.857604231	-0.266191706	-0.764191123	-1.021818474	-1.220337663	-0.538420045	-0.389648302	1.705128373	-0.987955559	-0.682752154	-0.879582651	-0.00795093	-1.315637042	1.535865599	0.003584634	-0.758028199	1.710328207	0.590591668	0.227031576	-0.774650252	1.616003353	0.756204656	-0.218899442	0.426189911	0.81776422	-0.909044349	-0.335519083	-0.003649513	-0.157716445	0.401092434	1.306018868	-0.192421196	-0.260239231	-1.600249651	1.017944596	0.708740686	-1.109503333	-1.115649805	-1.303200135	2.008335266	-0.350554789	0.648869816	0.453016487	1.532655627	-0.219643557	0.108051385	-1.270080923	1.391058495	1.490895816	-0.084815801	-0.484115255	1.693671451	0.10375189	1.328474388	0.841776403	-0.445410803	-1.076672903	-1.184659348	1.803060141	-0.066034645	1.84629912	-0.966553299	0.285159064	-0.333578361	-1.576102243	1.524587563	0.5940031	-0.684037017	0.307342583	0.897405549	1.914182878	1.200999795	1.038113264	1.498496066	2.051676409	-0.782223973	2.030616511	0.597229575	-1.43354112	0.11923258	-0.350282627	1.223547925	1.809590825	-0.226369436	1.985946005	1.177858529	1.377980636	-0.399768646	1.193970602	-0.844587749	-0.815237396	0.026891344	-1.235255636	-0.379344504	-0.35727978	-1.018807467	1.438844522	0.469893008	2.00073916	-0.330796825	-1.326271501	0.484924531	0.453907137	-0.685967897	-0.698995855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cg00106345	-1.137159831	0.232953157	-0.802251232	1.548421737	-1.096534304	0.126000351	-1.074665612	-0.012949434	-1.11938036	0.138750746	0.221586032	0.52361055	-0.056606677	0.954003794	-0.844618758	-0.546086715	1.343816033	-0.864231885	-1.074907125	-0.987524918	-0.704873108	-0.395260419	-0.378391997	-1.04907486	-0.509069482	-0.381029796	-0.225853374	-0.969074274	0.143425182	-0.34259577	-0.188737265	-0.886350089	-0.869371405	0.18380456	-0.942427799	0.726377457	-1.143622159	1.009042404	1.568836497	1.790863919	2.014476061	-0.288449671	0.58502461	-0.710671301	1.64874912	0.053652099	0.055274902	0.848646796	-0.347761364	-0.428711795	-0.590603903	-0.449447308	-0.377415304	-0.011379557	1.096495006	0.869331898	-0.42864603	-1.198135727	2.231541778	0.48087604	0.728946814	0.549688094	-1.055759117	1.14857157	-0.414643143	-0.628950872	1.084599299	1.352537955	-0.448731632	1.065290673	1.941409072	0.116870681	2.324242214	-0.47875168	-0.114193372	-0.992109451	-0.171749021	1.107466233	0.962503631	-0.942425134	1.05423757	-0.744876068	-0.099456227	0.102260275	2.559067554	0.068783075	2.390757826	-0.864245029	-0.042815971	1.490492785	-0.168256375	-0.495111662	1.86836331	-0.669491342	0.714973444	1.465979024	-0.509325655	0.384915895	0.58180998	0.347328604	-1.098368331	2.127035337	-0.880320688	1.56423762	0.43047314	-0.896440476	1.716600211	1.307733416	1.745643773	-0.582450264	-1.079409972	-0.126231666	0.121539165	-0.947467117	-0.860791853	1.117862472	0.021535575	-0.676740175	-0.841663104	-0.283200387	1.607693498	-0.849498329	0.435080179	0.875646352	-1.219804077	-0.01015634	1.060965187	-1.182713427	-0.926487192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cg00112256	-0.770700745	1.141884378	1.099259119	-0.752599612	-0.745127774	1.427552544	1.431050045	-0.755982184	1.363357815	1.265064313	-0.743396989	-0.763124293	1.362438027	-0.779695633	-0.766656132	-0.752551016	-0.748123029	-0.763150262	1.250788239	-0.76716923	-0.774115685	-0.769403087	-0.768655374	-0.768655528	1.311391161	1.328752919	1.284713128	-0.760603163	-0.775267605	1.249199862	-0.767365259	1.388056041	1.003118738	1.56914568	1.331280641	-0.743311703	1.270435848	-0.741913439	-0.749406936	-0.736992936	-0.757890374	-0.655599789	-0.728647909	-0.754117525	-0.753562964	1.301283018	-0.748712711	1.523774796	1.467138656	-0.737667894	-0.740429979	1.153051125	1.314336866	-0.733829626	-0.730553538	-0.729629139	-0.717839663	-0.748434182	-0.752748739	-0.746922748	-0.691781145	1.122969448	-0.772935969	-0.744999713	-0.75029836	1.380035695	1.620685033	-0.74472571	-0.747857189	1.242130148	1.552665456	-0.746109318	-0.773323875	-0.772953915	-0.734767171	0.851374438	-0.759178892	-0.745040172	1.312477896	1.519304024	1.618770795	-0.756180549	0.77802474	1.375926964	-0.755975727	1.429181748	-0.753113303	-0.760021089	-0.750122445	1.432818805	1.37069605	1.350131296	-0.751319541	-0.747432264	-0.744651347	-0.729656712	1.590571376	-0.735627728	-0.750030382	1.416799644	1.456631291	-0.753651115	-0.736570193	-0.743489939	1.187904475	-0.750047937	-0.739450985	-0.74924502	-0.740581913	-0.740964351	1.357679763	1.427637979	1.444411167	-0.7519493	1.384859893	-0.734984015	-0.74340365	1.325140944	1.057017264	-0.717366545	-0.753371041	-0.74545253	-0.742543522	-0.748826987	-0.742227784	-0.689674168	-0.751469458	1.155786558	-0.768339147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cg00113623	-0.876822971	1.279675059	1.399124984	-0.819844126	-0.766319113	1.199506191	0.596707879	-0.81573635	0.391283438	0.923490989	-0.721229061	-0.771020772	1.020779618	-0.779765664	-0.879492111	-0.855562243	-0.733481998	-0.799603088	1.046111793	-0.82790562	-0.703284131	-0.784064267	-0.84085977	-0.802205291	1.180810927	1.145594064	1.105886388	-0.749263997	-0.767453888	1.059527471	-0.831740827	1.47468388	1.262884562	1.02860259	1.398033304	-0.772992048	1.441035417	-0.674771342	-0.79236328	-0.720472793	-0.746841079	-0.511999491	-0.739781019	-0.686568746	-0.700390402	1.382328315	-0.7518509	1.642231754	1.496020404	-0.718879256	-0.73301871	1.136258176	1.395855169	-0.702224657	-0.747000049	-0.743053607	-0.711876406	-0.825699824	-0.782341766	-0.728159554	-0.792121142	1.450891949	-0.788624242	-0.635613365	-0.845114965	1.314831215	1.41478037	-0.806833211	-0.787024988	1.595385741	1.476029559	-0.714861519	-0.730808616	-0.700881741	-0.617344954	1.907301911	-0.734047589	-0.769821808	1.536960721	1.472081704	1.509545962	-0.701648316	1.141586577	1.305850652	-0.723836333	1.245647872	-0.84115574	-0.730405143	-0.827148694	0.669771323	0.954996683	1.201249328	-0.515164797	-0.664417254	-0.812568066	-0.754143486	1.578790459	-0.425197734	-0.569063674	1.543260271	0.660829082	-0.721763411	-0.708623295	-0.842232075	1.156286312	-0.773949873	-0.670834892	-0.668459898	-0.688652586	-0.698345684	1.38656611	1.37388711	1.725247555	-0.723219389	1.556274931	-0.705669612	-0.816141405	1.206206439	1.25060231	-0.748974662	-0.669946283	-0.726580859	-0.658757443	-0.729925618	-0.722823154	-0.472151788	-0.668128507	1.137963852	-0.8024165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cg00114625	-0.772475108	1.245512959	1.334154609	-0.759512834	-0.752349364	1.310630135	1.297986447	-0.739742639	1.293847274	1.328115577	-0.764130416	-0.774840771	1.161787804	-0.779246916	-0.773667592	-0.770239479	-0.762540784	-0.763226932	1.073768487	-0.771755901	-0.767161697	-0.734458139	-0.763546671	-0.76583452	1.268530719	1.319208422	1.284824718	-0.754229487	-0.768753654	1.275960142	-0.765854443	1.350519509	1.412318002	0.913627535	1.493766954	-0.745261571	1.537941938	-0.745503084	-0.760064344	-0.746469711	-0.757927152	-0.756683891	-0.763952305	-0.763966345	-0.761312552	1.429588965	-0.757146173	1.406707932	1.360233639	-0.752015408	-0.761166345	1.197548868	1.284570417	-0.755089201	-0.741776449	-0.759793748	-0.755572585	-0.751012352	-0.755084574	-0.750651303	-0.694418987	1.560444368	-0.769621638	-0.752399878	-0.758995662	1.322700441	1.420956934	-0.752390916	-0.748634873	1.505936493	1.340159328	-0.753408217	-0.773054261	-0.766685384	-0.713031686	1.287427575	-0.758952081	-0.745388925	1.487136417	1.461223307	1.539988206	-0.756054197	1.103587185	1.43539251	-0.740850956	1.202319365	-0.734937626	-0.743032589	-0.754642609	1.075824994	1.245298069	1.188509507	-0.760282211	-0.754270389	-0.752625365	-0.758596791	1.288088512	-0.752717925	-0.756672503	1.456074353	1.506852143	-0.744831735	-0.751386014	-0.750147407	1.324742893	-0.757813164	-0.751894716	-0.760299172	-0.752883702	-0.737172018	1.44053529	1.367051612	1.445927803	-0.743035236	1.586494866	-0.753297424	-0.769214795	1.381440507	1.17451702	-0.753187747	-0.769171976	-0.766065293	-0.74884916	-0.744036978	-0.763887196	-0.758954982	-0.751993299	1.110438611	-0.754850374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cg00114913	-0.893717302	1.273275745	0.813292219	-0.397104716	-0.975696214	0.86667229	1.192841613	-0.928371109	1.350566609	1.779051667	-0.977578321	-1.065702293	0.60995361	-1.121560258	-0.761228006	-0.640222911	-0.296852958	-0.929975963	0.533097024	-1.080726909	-0.939913788	-0.85515806	-0.93575444	-1.042492163	0.68077397	0.671867115	0.984606048	-0.899437222	-1.091220059	0.832698063	-0.763820628	-0.005002036	0.630311958	-0.077447664	0.247073365	-0.475910398	1.033107552	-0.772742268	-1.02747812	-0.46420966	-1.063304659	-1.019039728	-1.075027632	1.76133462	0.442469631	1.815750759	1.296566102	1.147868844	1.136922561	-0.669372589	-0.976479338	0.741894174	0.713985766	-1.068594177	-1.040285626	-1.005355806	-0.991524004	-1.04613055	1.690393271	0.512917103	-0.839402885	1.801681489	-1.00083544	0.66549447	-0.974070098	0.519462885	0.802510658	-0.03765208	-1.079449786	0.536476484	1.579385497	-0.179191204	-0.004483195	-0.605525692	-1.034247743	1.696304115	-0.856670602	-0.90473627	0.634152193	0.119224602	1.430242281	1.931553511	0.432518948	0.717829205	-0.970124573	0.719142455	-1.000271169	-1.07672641	-1.096034366	0.925868121	0.635075773	0.630952286	-0.065175779	-0.935309115	0.088772104	0.76416494	1.407808925	1.014385752	-1.056688689	0.792822336	2.048585532	1.960971654	1.71873011	-1.052417559	0.911581228	-0.665827634	1.014152171	-0.510221072	-1.067709834	-0.707042816	1.325190276	0.501986593	1.243486236	-0.745530314	2.08454687	-0.930339742	1.272198876	0.788007682	0.362636635	-1.055691514	0.154216233	1.136179	-0.851296301	-1.067233608	-0.09589738	-0.982300711	-0.982649161	0.431632912	-0.945309913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cg00116709	-0.792102307	1.020125709	1.187256071	-0.743250204	-0.77399681	1.130870968	1.216831116	-0.764601148	1.36688405	1.45117108	-0.788260792	-0.774756255	1.181480967	-0.777655554	-0.769123838	-0.769290994	-0.727482499	-0.765109684	1.287483176	-0.770724399	-0.751285269	-0.76528013	-0.773810722	-0.762122234	1.11751788	1.11998855	1.431524196	-0.75654816	-0.775226432	1.208510022	-0.762529204	1.492307941	1.493903253	0.810987008	1.536431504	-0.734146835	1.573577191	-0.765312627	-0.75947008	-0.751874873	-0.759458363	-0.658103235	-0.741503009	-0.711951453	-0.763705795	1.406586716	-0.768393024	1.598473674	1.453958583	-0.763262256	-0.768129188	1.108691595	1.197272075	-0.761567755	-0.727694473	-0.714143519	-0.739421311	-0.747416012	-0.719285686	-0.758686658	-0.77530615	1.356921102	-0.77533512	-0.746142827	-0.777203976	1.29231372	1.505457124	-0.751570608	-0.739113432	1.658699023	1.542980747	-0.763150359	-0.758923059	-0.751649553	-0.731224655	1.671288421	-0.751403873	-0.742498008	1.317937193	1.536354931	1.597581145	-0.761841133	0.881249231	1.369148822	-0.753856412	1.34837504	-0.767897128	-0.773922915	-0.757440983	1.359341078	1.186301782	1.285552132	-0.742848194	-0.763318224	-0.761015676	-0.768621495	1.223684482	-0.755334786	-0.702267686	0.900773969	0.411641975	-0.761611692	-0.510214408	-0.764700615	1.448267172	-0.750723189	-0.75097075	-0.730138551	-0.743724366	-0.741614699	1.379018619	1.489942509	1.514526117	-0.749919757	1.630636177	-0.740728663	-0.77174911	1.181511092	1.194548458	-0.759550857	-0.762717713	-0.744012821	-0.735874983	-0.763938104	-0.751669418	-0.735654935	-0.731782679	1.096894847	-0.757957189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
